epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6171,1.55467,1.04386,1.16979,0.79977,0.73968,0.78209,0.3532,2.11911,1.26521,1.60173,0.000554032,0.000554032,0.000554032
2,71.9138,1.49989,0.8274,1.1602,0.84563,0.84481,0.88136,0.48773,1.58449,0.97198,1.29405,0.00109871,0.00109871,0.00109871
3,105.864,1.46238,0.79678,1.14508,0.85299,0.84098,0.91782,0.5547,1.43267,0.83163,1.20469,0.00163239,0.00163239,0.00163239
4,139.153,1.42275,0.75743,1.12782,0.92592,0.86072,0.94767,0.58196,1.36386,0.69599,1.17335,0.00161749,0.00161749,0.00161749
5,172.833,1.39515,0.7277,1.11243,0.93368,0.89993,0.95767,0.59594,1.36381,0.65937,1.16248,0.00160099,0.00160099,0.00160099
6,206.227,1.34618,0.70081,1.09942,0.94153,0.89971,0.95516,0.60325,1.34753,0.6507,1.15426,0.00158448,0.00158448,0.00158448
7,239.604,1.33422,0.67918,1.08726,0.9156,0.89984,0.95851,0.60289,1.33062,0.65729,1.15382,0.00156798,0.00156798,0.00156798
8,273.164,1.28915,0.6545,1.07396,0.91533,0.90527,0.95696,0.58898,1.46824,0.69524,1.20381,0.00155148,0.00155148,0.00155148
9,306.772,1.26717,0.6333,1.0638,0.96065,0.90465,0.96202,0.62869,1.26248,0.59333,1.12988,0.00153497,0.00153497,0.00153497
10,340.071,1.26641,0.63835,1.06358,0.93441,0.92713,0.96581,0.6485,1.19584,0.59446,1.10939,0.00151847,0.00151847,0.00151847
11,373.279,1.24105,0.6245,1.05596,0.91608,0.92755,0.96386,0.64612,1.22933,0.57753,1.11306,0.00150197,0.00150197,0.00150197
12,406.085,1.21839,0.60864,1.04337,0.95549,0.92939,0.97066,0.64024,1.26119,0.57967,1.13293,0.00148546,0.00148546,0.00148546
13,438.977,1.20343,0.60221,1.03799,0.92673,0.91473,0.96664,0.63329,1.25643,0.57895,1.13057,0.00146896,0.00146896,0.00146896
14,471.896,1.19688,0.59327,1.03885,0.96103,0.92935,0.9705,0.66609,1.15521,0.54835,1.08733,0.00145246,0.00145246,0.00145246
15,504.883,1.18072,0.58064,1.02954,0.9454,0.90651,0.96712,0.64794,1.25527,0.59006,1.11981,0.00143595,0.00143595,0.00143595
16,538.266,1.1785,0.57593,1.02967,0.9754,0.92099,0.97152,0.66329,1.19067,0.54467,1.09105,0.00141945,0.00141945,0.00141945
17,571.607,1.16525,0.57281,1.02541,0.94266,0.9301,0.97164,0.65035,1.20077,0.55772,1.09966,0.00140295,0.00140295,0.00140295
18,605.013,1.14784,0.56473,1.01672,0.95975,0.94189,0.97779,0.674,1.14711,0.53002,1.08354,0.00138644,0.00138644,0.00138644
19,638.715,1.13751,0.55788,1.01508,0.96575,0.9291,0.97512,0.64133,1.25797,0.56008,1.13006,0.00136994,0.00136994,0.00136994
20,672.369,1.16014,0.56969,1.02136,0.94749,0.93934,0.97384,0.67576,1.16155,0.527,1.08372,0.00135344,0.00135344,0.00135344
21,705.94,1.11757,0.54781,1.00879,0.95389,0.92054,0.97415,0.6708,1.16921,0.52292,1.08596,0.00133693,0.00133693,0.00133693
22,739.26,1.11262,0.54462,1.00458,0.96275,0.93762,0.97668,0.68965,1.1182,0.51574,1.07256,0.00132043,0.00132043,0.00132043
23,772.599,1.11206,0.54334,1.00584,0.96908,0.94397,0.97631,0.69062,1.12228,0.50033,1.07574,0.00130393,0.00130393,0.00130393
24,806.003,1.0994,0.54047,1.00006,0.96381,0.94394,0.97651,0.693,1.09098,0.50245,1.06329,0.00128742,0.00128742,0.00128742
25,839.478,1.08371,0.53021,0.99589,0.96163,0.94296,0.97878,0.67369,1.18116,0.50425,1.0837,0.00127092,0.00127092,0.00127092
26,872.84,1.07613,0.52288,0.99332,0.96301,0.94652,0.97588,0.68286,1.14094,0.49718,1.07402,0.00125442,0.00125442,0.00125442
27,906.533,1.07488,0.52808,0.99325,0.96498,0.94565,0.97894,0.69455,1.11016,0.49252,1.07023,0.00123791,0.00123791,0.00123791
28,940.365,1.05867,0.51922,0.98634,0.96285,0.94644,0.98151,0.69169,1.11978,0.48754,1.07912,0.00122141,0.00122141,0.00122141
29,973.998,1.05794,0.51542,0.98817,0.96689,0.94404,0.97757,0.69741,1.09872,0.48021,1.06657,0.00120491,0.00120491,0.00120491
30,1007.78,1.04609,0.50783,0.98327,0.96698,0.94803,0.98001,0.68685,1.12979,0.48289,1.07513,0.0011884,0.0011884,0.0011884
31,1041.28,1.04113,0.50545,0.97988,0.97436,0.94228,0.98134,0.70795,1.07991,0.46285,1.05893,0.0011719,0.0011719,0.0011719
32,1075.15,1.0281,0.4985,0.9749,0.97439,0.9447,0.98123,0.70011,1.10348,0.47443,1.066,0.0011554,0.0011554,0.0011554
33,1108.76,1.02545,0.49919,0.97564,0.97678,0.94711,0.98089,0.70196,1.08734,0.47174,1.06413,0.00113889,0.00113889,0.00113889
34,1142.39,1.02308,0.49716,0.97492,0.96053,0.93988,0.9767,0.67484,1.14053,0.49016,1.07812,0.00112239,0.00112239,0.00112239
35,1176.03,1.01335,0.49785,0.97349,0.96451,0.95215,0.97933,0.70343,1.0944,0.47952,1.06861,0.00110589,0.00110589,0.00110589
36,1209.47,1.01317,0.49204,0.97001,0.96502,0.95661,0.98072,0.70051,1.10463,0.47375,1.0663,0.00108938,0.00108938,0.00108938
37,1243.05,1.00325,0.48692,0.96805,0.95104,0.93572,0.97849,0.68786,1.11327,0.47853,1.08764,0.00107288,0.00107288,0.00107288
38,1276.22,0.98858,0.48068,0.96321,0.96982,0.94548,0.97934,0.70404,1.09635,0.47246,1.06985,0.00105638,0.00105638,0.00105638
39,1310.17,0.98885,0.47892,0.96269,0.96241,0.94593,0.98127,0.70149,1.10938,0.47003,1.07426,0.00103987,0.00103987,0.00103987
40,1343.75,0.98544,0.47955,0.96211,0.97443,0.95598,0.98062,0.71476,1.05913,0.44584,1.05432,0.00102337,0.00102337,0.00102337
41,1377.59,0.96809,0.46978,0.95314,0.97481,0.95332,0.98143,0.71275,1.07366,0.45718,1.064,0.00100687,0.00100687,0.00100687
42,1411.25,0.96321,0.4658,0.95422,0.97164,0.95378,0.98238,0.70956,1.07819,0.46686,1.06772,0.000990365,0.000990365,0.000990365
43,1444.85,0.96213,0.46764,0.95505,0.97713,0.94825,0.98145,0.71176,1.05783,0.45136,1.06278,0.000973861,0.000973861,0.000973861
44,1478.21,0.9599,0.46344,0.9546,0.97548,0.94908,0.98171,0.71826,1.04586,0.45147,1.05617,0.000957358,0.000957358,0.000957358
45,1511.79,0.94649,0.45819,0.95047,0.9737,0.9555,0.98212,0.71634,1.06137,0.44699,1.06962,0.000940855,0.000940855,0.000940855
46,1545.73,0.94802,0.45893,0.94977,0.98193,0.95254,0.98068,0.71273,1.06395,0.445,1.06129,0.000924352,0.000924352,0.000924352
47,1579.43,0.9428,0.45407,0.94943,0.97616,0.95181,0.9836,0.71793,1.05171,0.44791,1.05765,0.000907848,0.000907848,0.000907848
48,1612.67,0.92934,0.45558,0.94497,0.97282,0.95483,0.98138,0.70961,1.09536,0.45813,1.07779,0.000891345,0.000891345,0.000891345
49,1646.06,0.92202,0.44985,0.94239,0.97409,0.95358,0.9825,0.72522,1.05231,0.44239,1.06157,0.000874842,0.000874842,0.000874842
50,1679.48,0.91875,0.449,0.94134,0.97397,0.94831,0.9809,0.72032,1.05966,0.44833,1.06474,0.000858338,0.000858338,0.000858338
51,1712.8,0.92204,0.45047,0.93916,0.9745,0.95105,0.98161,0.72284,1.05209,0.4429,1.0639,0.000841835,0.000841835,0.000841835
52,1746.15,0.89835,0.44061,0.94155,0.97192,0.95863,0.98313,0.71856,1.06387,0.44379,1.06893,0.000825332,0.000825332,0.000825332
53,1779.46,0.90879,0.44239,0.94006,0.9711,0.95072,0.98118,0.71457,1.07386,0.45136,1.07402,0.000808828,0.000808828,0.000808828
54,1812.63,0.88741,0.43381,0.93309,0.97129,0.95618,0.98252,0.71536,1.07316,0.44734,1.07403,0.000792325,0.000792325,0.000792325
55,1845.78,0.89381,0.43768,0.93454,0.96927,0.95506,0.98183,0.71152,1.074,0.44917,1.06471,0.000775822,0.000775822,0.000775822
56,1878.86,0.88124,0.43371,0.93025,0.97945,0.9514,0.98005,0.71805,1.07066,0.44614,1.07129,0.000759318,0.000759318,0.000759318
57,1912.45,0.88324,0.43226,0.92876,0.9793,0.95086,0.98216,0.72929,1.03258,0.42721,1.05964,0.000742815,0.000742815,0.000742815
58,1946.21,0.87703,0.43049,0.93276,0.97673,0.94956,0.97986,0.72528,1.05409,0.43997,1.07221,0.000726312,0.000726312,0.000726312
59,1979.78,0.86368,0.42454,0.92604,0.97514,0.95337,0.98278,0.71885,1.05721,0.44073,1.07111,0.000709809,0.000709809,0.000709809
60,2013.53,0.86697,0.4253,0.92565,0.97375,0.95873,0.98222,0.72774,1.04004,0.42795,1.06426,0.000693305,0.000693305,0.000693305
61,2047.16,0.85668,0.42021,0.92524,0.97155,0.95219,0.98274,0.72463,1.05301,0.43612,1.06434,0.000676802,0.000676802,0.000676802
62,2080.43,0.8526,0.42076,0.92131,0.97794,0.9522,0.98187,0.73077,1.03962,0.42987,1.06492,0.000660299,0.000660299,0.000660299
63,2113.98,0.8494,0.41812,0.92314,0.97724,0.95341,0.98273,0.72606,1.04362,0.43446,1.0591,0.000643795,0.000643795,0.000643795
64,2147.55,0.84672,0.41608,0.91861,0.97663,0.96168,0.98315,0.73011,1.04098,0.42363,1.06446,0.000627292,0.000627292,0.000627292
65,2180.86,0.8347,0.40969,0.91437,0.96983,0.96088,0.98247,0.72974,1.02908,0.42235,1.05887,0.000610789,0.000610789,0.000610789
66,2213.92,0.83018,0.40842,0.91258,0.97865,0.96094,0.98447,0.73375,1.03012,0.41982,1.05939,0.000594286,0.000594286,0.000594286
67,2246.91,0.82319,0.40682,0.91214,0.97473,0.95772,0.98337,0.72525,1.04427,0.42763,1.0621,0.000577782,0.000577782,0.000577782
68,2280.17,0.82102,0.40607,0.91074,0.97078,0.96054,0.98312,0.72946,1.04505,0.42607,1.07131,0.000561279,0.000561279,0.000561279
69,2313.43,0.8091,0.39964,0.90921,0.97484,0.95934,0.98424,0.73326,1.02448,0.41913,1.06044,0.000544776,0.000544776,0.000544776
70,2347.21,0.81169,0.40196,0.91094,0.97177,0.95479,0.98358,0.73331,1.02757,0.41987,1.06603,0.000528272,0.000528272,0.000528272
71,2380.66,0.80083,0.39879,0.90733,0.9732,0.95226,0.9828,0.72701,1.03406,0.42242,1.06897,0.000511769,0.000511769,0.000511769
72,2414.1,0.80138,0.39679,0.90555,0.97433,0.9565,0.98125,0.7275,1.0373,0.41826,1.06897,0.000495266,0.000495266,0.000495266
73,2447.51,0.79457,0.39521,0.90634,0.96507,0.95777,0.98388,0.73757,1.02823,0.42191,1.06658,0.000478762,0.000478762,0.000478762
74,2481.04,0.78719,0.39236,0.90327,0.97864,0.95135,0.98214,0.73284,1.03601,0.42335,1.06717,0.000462259,0.000462259,0.000462259
75,2514.47,0.78864,0.39208,0.90163,0.96587,0.9625,0.98127,0.73602,1.03777,0.42189,1.07001,0.000445756,0.000445756,0.000445756
76,2547.56,0.78469,0.39061,0.90279,0.97245,0.95765,0.98066,0.72832,1.0436,0.42047,1.07337,0.000429253,0.000429253,0.000429253
77,2580.85,0.77648,0.38724,0.90105,0.97242,0.95716,0.98251,0.73343,1.03097,0.41787,1.06671,0.000412749,0.000412749,0.000412749
78,2614.09,0.77061,0.38568,0.89867,0.97752,0.95689,0.98247,0.73955,1.02138,0.40953,1.06899,0.000396246,0.000396246,0.000396246
79,2647.5,0.76895,0.38491,0.89675,0.97176,0.95764,0.98243,0.73521,1.0252,0.41544,1.06809,0.000379743,0.000379743,0.000379743
80,2681.03,0.76068,0.3799,0.89663,0.98034,0.95005,0.98279,0.73613,1.03244,0.41711,1.0701,0.000363239,0.000363239,0.000363239
81,2714.36,0.7478,0.374,0.89442,0.97744,0.95474,0.9837,0.73654,1.02406,0.41096,1.06867,0.000346736,0.000346736,0.000346736
82,2747.93,0.74589,0.37378,0.8916,0.96986,0.95924,0.98345,0.73756,1.03629,0.41369,1.06998,0.000330233,0.000330233,0.000330233
83,2781.76,0.7465,0.37445,0.88814,0.97305,0.96002,0.98294,0.73764,1.03458,0.4127,1.074,0.000313729,0.000313729,0.000313729
